tweet,date,retweet,like,year_month,year,sentiment,new_tweet_text,period,month_year
i desperately want bts come to malaysia but im also scared of meleis,2021-11-26,2,7,2021-11,2021,0,I desperately want come also,during,2021-11
i strongly believe in dr  israr ahmed s words that the attack on al aqsa will be to check the pulse of muslims if they have any dignity and shame left  arab world proved that they have none  turkey  pakistan  sudan  malaysia came out as strong representatives of ummah ,2021-05-22,1,7,2021-05,2021,0,I strongly believe attack al check pulse dignity shame leave world prove none turkey come strong,during,2021-05
i was listening to a video on white trash in films and i felt like its parallel to bumis in malaysia with regards to rempit discourse lol — like how bourgeois or petite bourgeois tend to ‘other’ lower in ses malays to further divide the class and compartmentalise guilt,2021-09-29,0,7,2021-09,2021,1,I listen video white trash I feel like parallel discourse like bourgeois petite bourgeois tend low far divide class guilt,during,2021-09
i m sick of people shame others just because they didn t tweet or post anything about palestine  lagi lagi artis malaysia and  influencer  di malaysia  just do your part  spread the awareness yourself  artis dgn influencer kat malaysia ni bukan famous sgt pun ,2021-05-16,5,7,2021-05,2021,0,I sick people shame tweet post anything influencer di part spread awareness influencer kat ni famous pun,during,2021-05
i’m in a bad place right now  not mentally  i just live in malaysia,2021-04-20,10,7,2021-04,2021,0,I bad place right mentally I live,during,2021-04
leaders in cut flowers in percentage of global market share  netherlands   52  colombia   15  ecuador   9  kenya   7  belgium   3  ethiopia   2  malaysia   1  italy   1  germany   1  israel   1  source  worldatlas,2021-03-21,7,7,2021-03,2021,1,cut percentage global market share source,during,2021-03
malaysia is full of talented and smart young people  what a hopeless landscape of a country for them  we waste our resources away for what  so some rich assholes can embezzle our tax money  i m tiredt,2021-06-14,1,7,2021-06,2021,1,full talented smart young people hopeless landscape country waste away rich embezzle tax money I,during,2021-06
malaysia is just bad asia ,2021-12-02,1,7,2021-02,2021,0,bad,during,2021-12
people be really scared that malaysia will be like singapore    are you…stupid   like singapore is way more developed that here  and you’re saying that you dont wanna be as developed as them    god,2021-08-20,5,7,2021-08,2021,1,people really like stupid like way say god,during,2021-08
seeing our badminton player play during denmark open  we can see that they are very tired but still giving 100  during match  comeback stronger malaysia,2021-10-23,0,7,2021-10,2021,0,see badminton player play open see tired still give match comeback,during,2021-10
steps malaysia should take now  1  total lockdown like pkp 1 0 2  moratorium  cash assist for everyone for at least 2months to make sure everybody can live 3  politicians stop making stupid decisions 4  heavy punishments to employers who decide to cut salary of their workers,2021-09-05,3,7,2021-05,2021,0,take total like moratorium cash assist everyone least make sure everybody live stop make stupid heavy decide cut salary,during,2021-09
the cdc says prime minister of malaysia bad  martial arts good,2021-05-14,1,7,2021-05,2021,0,prime minister bad martial good,during,2021-05
this one sis bila i said thank you then she replied waalaikumsalam  sis are you okay  maybe nervous gamaknya takleh brain aku orang malaysia ni,2021-04-07,0,7,2021-07,2021,1,one sis I say thank sis maybe nervous brain aku orang ni,during,2021-04
this whole vaccine mess makes me feel so bad for my friends n family in malaysia,2021-05-26,0,7,2021-05,2021,0,whole vaccine mess I feel bad n family,during,2021-05
tonight on  midnightmalaysia we will be moderating a room that doesn’t make any sense  it makes me nervous  my palms sweaty and challenges us as moderators  see you on clubhouse  at midnight  malaysia   chmoderatorconfession,2021-06-23,3,7,2021-06,2021,0,tonight room make sense I nervous sweaty see clubhouse midnight,during,2021-06
we shouldn’t at the first place kene rebut pun  ahhh what a shame la gov malaysia ni  allocation banyak nak mampus tapi sistem mcm sial  aku maroh,2021-05-26,0,7,2021-05,2021,0,first place rebut pun shame la ni allocation nak sial aku,during,2021-05
welcome to malaysia  where water cut and electricity goes out simultaneously  kimak betul,2021-10-13,0,7,2021-10,2021,1,welcome water cut electricity go simultaneously,during,2021-10
when religious people in malaysia don’t realise being prejudice against the lgbtq  community or thriving at the expense of marginalised communities is bad  they rather believe their man written scriptures and biased religious heads,2021-11-23,2,7,2021-11,2021,0,religious people prejudice community thrive expense bad rather believe man write religious,during,2021-11
finally got a haircut today  last haircut i got was when i was back in malaysia for cny back in jan 2020  my usual guy sho was unavailable  1st time with the stylist who cut my hair today   the moment she saw my hair  she said  it s been too long  ,2021-06-27,0,7,2021-06,2021,0,finally get haircut today last haircut I get I back back usual guy sho unavailable time stylist cut hair today moment see hair say long,during,2021-06
nah the only time i’ll feel this nervous for a football game is if malaysia plays in a world cup final,2021-01-17,1,7,2021-01,2021,0,time I feel nervous football game world cup final,during,2021-01
omg ranted after so long im so glad i stop vibing with people who keep invalidating my sexuality and opinions im tired of molding myself to fit in i wanna leave malaysia and live in a lesbian apartment and bake cakes,2021-12-01,0,7,2021-01,2021,1,long glad I stop people keep sexuality tired mold fit I leave live apartment bake,during,2021-12
tiap tiap hari bukak twitter je im always reminded of how terrible the current state of malaysia is and im honestly so tired of it,2021-08-16,5,7,2021-08,2021,0,twitter always terrible current state honestly tired,during,2021-08
why cant malaysia do dramas like hospital playlist or law school or uncanny encounter as drama kol 7    balik balik anak dato  abusive in laws partners  cheating  unnecessary screaming  marah cause ex partner muncul balik  rebut harta like arent yall tired cause i am,2021-02-06,0,7,2021-06,2021,0,like hospital law school uncanny encounter drama abusive cheat unnecessary screaming cause ex partner rebut like tired cause I,during,2021-02
fatf exposed being tool of  usa to blackmailing sovereign and neutral nations  shame on the biased negative tactics  pakistan russia china turkey iran malaysia and other countries must have a unanimous approach to foil blackmailing of the united states and its cronies,2021-06-25,4,6,2021-06,2021,0,expose tool sovereign neutral shame negative tactic russia china turkey must unanimous approach foil united,during,2021-06
franco baresi  ac milan vice president  on which  mufc player he likes and would have at milan   i like marcus rashford a lot  he’s an extraordinary player  he wouldn’t be bad for milan  he can play in any position up front  it would be a nice advantage    times ,2021-11-03,0,6,2021-03,2021,1,franco vice president player would I like lot extraordinary player bad play position front would nice advantage time,during,2021-11
get well soon malaysia  only god can save all not this political government fighting and scared to lose seats   malaysia covid,2021-06-26,2,6,2021-06,2021,1,get well soon god save political government fighting lose covid,during,2021-06
i know i should be really joyful abt tt new activities but malaysia is facing hardships after hardships  we re faced with natural disasters and rulers who do not care enough  i m tired  upset and really sorrowful   prayforselangor,2021-12-19,3,6,2021-12,2021,1,I know I really joyful new face face natural care enough I tired upset really sorrowful,during,2021-12
i think it s confirmed that i am the only indian female aquarium hobbyist in malaysia  even a betta aquarist youtuber just pm ed me because he wanted to film and promote me  too bad i no longer run a business based on finbabies so x jadi ,2021-02-21,0,6,2021-02,2021,0,I think confirm I female aquarium hobbyist even I film promote I bad I long run business base x,during,2021-02
i want to leave malaysia so bad ,2021-02-07,2,6,2021-07,2021,0,I want leave bad,during,2021-02
i m really sick with of some of malaysia celebrities that think with bad attitude their will be respect by other people but actually not  you re guys are such of piece of shit,2021-10-20,0,6,2021-10,2021,0,I really sick think bad attitude respect people actually piece,during,2021-10
it s okay if you have a grammatical error while you speak or writes  bro our mother tongue is bahasa melayu  i was born in malaysia  should i be ashamed of speaking my language  bahasa melayu even i m a linguistic student  shame on you  hg ckp bi pun bunyi siam ,2021-09-25,0,6,2021-09,2021,0,grammatical error speak mother tongue I bear I ashamed speak language even I linguistic student shame pun,during,2021-09
i’m scared for malaysia for real,2021-04-18,0,6,2021-04,2021,1,I real,during,2021-04
let’s leave india aside and talk only about tamilnadu  the number of cases there was really bad  extremely  but now they have reduced to 4000  cases a day  and then there is my country  malaysia  despite forcing us into the fmco  cases are still up to 6000  cases a day,2021-02-07,3,6,2021-07,2021,0,let leave aside talk number really bad extremely reduce day country despite force still day,during,2021-02
malaysia film censorship board literally cut all the kissing scenes between ikaris and sersi wtf,2021-05-11,0,6,2021-11,2021,1,film censorship board literally cut kissing,during,2021-05
malaysia  looks like 2021 is gearing up to be a bad rerun of 2020  i am not happy  none of us should be  but we should all know what we need to do  by now ,2021-05-30,0,6,2021-05,2021,1,like gear bad rerun I happy none know need,during,2021-05
my top netflix series prison break breaking bad narcos black mirror the good place money heist alice in borderland lupin they all have good plot twists  most are crime based  some uses extreme violence  boleh recommend drama siri malaysia yg got the same vibe tak ,2021-01-21,7,6,2021-01,2021,0,top series prison break break bad black mirror good place money borderland good plot crime base extreme violence recommend drama get,during,2021-01
only in malaysia  you get promoted for being a failure ,2021-08-20,3,6,2021-08,2021,0,get failure,during,2021-08
petang hari baik  bulan baik  i really dont want to say bad things  let just put our trust in him  we plan  they plan but he is indeed the greatest planner among all  be safe  malaysia ,2021-08-20,1,6,2021-08,2021,1,I really want say bad let put trust plan plan indeed planner among safe,during,2021-08
so reading up about beauty and the beast  2017  i forgot about that “gay moment”  russia certified the movie as 16   a cinema in alabama did not screen the movie  in malaysia the government insisted the “gay moment  scene be cut out  do not tell me homophobia no longer exists ,2021-04-21,0,6,2021-04,2021,1,read beauty beast I forget gay moment russia certify movie cinema screen movie government gay moment scene cut tell I long,during,2021-04
solskjær on pogba s injury   it seemed like a muscle injury  he s fine  we ll check him out tomorrow and we ll see how serious it is  i hope it s not too bad but he didn t carry on so had to take him off ,2021-07-02,0,6,2021-02,2021,0,injury like muscle injury fine check tomorrow see serious I hope bad carry take,during,2021-07
the funny thing is malaysia recorded no 1 rating in world daily case  we need to do the total lockdown  it isn’t a joke anymore pls im tired living like this,2021-05-23,0,6,2021-05,2021,1,funny thing rating world daily case need total joke tired live like,during,2021-05
there s so much happening in the world right now  police brutality in the us  spike in covid19 cases in india and the obvious failure of an unelected government in malaysia being a few of them  my heart goes out to every person from all around the globe that is struggling ,2021-04-21,1,6,2021-04,2021,0,much happen world right police brutality us spike obvious failure unelected government heart go every person around globe struggle,during,2021-04
what a worthless  failure of a government that we have here in malaysia  the people are waiting for the announcement of something major and no decision has been made  no updates  no news  zero  why do we have such imbeciles running our country  ,2021-05-21,1,6,2021-05,2021,0,worthless failure government people wait announcement something major decision make news zero run country,during,2021-05
what’s gonna happen to malaysia  ya allah i’m so scared…,2021-08-13,0,6,2021-08,2021,1,happen ya I,during,2021-08
when they say they want to leave malaysia so bad and they really mean it                 ,2021-10-09,0,6,2021-09,2021,0,say want leave bad really mean,during,2021-10
why is it so hard to find scholarships for psychology as an m40 in malaysia     i m getting tired of this hh,2021-11-15,1,6,2021-11,2021,0,hard find psychology I get tired,during,2021-11
why would you rt posts invalidating racism and discrimination that meghan had faced  you were born as a malay muslim in malaysia and literally have all the privileges and special treatments no other races have  tda pernah rasa susah  lagi mau invalidate struggle org lain  shame ,2021-09-03,0,6,2021-03,2021,0,would racism discrimination face bear literally special rasa mau invalidate struggle lain shame,during,2021-09
working 2 jobs is so tiring but i have no choice  it s difficult to make ends meet with only one job in malaysia  with such low wages   salary  my boss have to cut my salary during the pandemic bc he s struggling w his business too,2021-07-09,1,6,2021-09,2021,0,working tiring I choice difficult make meet one job low wage salary boss cut salary pandemic struggle w business,during,2021-07
considering uk population is like 30 millions more and have 2k   daily cases as well  damn malaysia this is bad bad,2021-04-16,1,6,2021-04,2021,0,consider population like million daily well damn bad bad,during,2021-04
ever since i applied for that research analyst job in malaysia i find myself constantly thinking about it everyday  never wanted anything so bad ya allah pls,2021-09-02,1,6,2021-02,2021,1,ever since I apply research analyst job I find constantly think everyday never anything bad ya,during,2021-09
i m so scared living in malaysia   kes 15k   allahu     take care stay safe semua,2021-07-23,3,6,2021-07,2021,1,I live take care stay safe,during,2021-07
one of these days im gonna make a thread about malaysia because i am so fucking sick and tired,2021-11-06,0,6,2021-06,2021,0,one day make thread I sick tired,during,2021-11
sigh  once again  i m tired of this situation that malaysia is in,2021-06-20,0,6,2021-06,2021,0,sigh I tired situation,during,2021-06
so let s say that by some unrealistic and illogical chance that period poverty  somehow  doesn t exist in malaysia  what s so bad about the government giving free sanitary pads  benda free kot pepek kau bergetar ke babi,2021-03-11,3,6,2021-11,2021,1,let say unrealistic illogical chance period poverty somehow exist bad government give free sanitary benda free,during,2021-03
tolong la malaysia  kurangkan covid 19 cases ni before december  i want to watch jjk movie 0 so bad ,2021-06-27,1,6,2021-06,2021,0,la covid ni I want watch movie bad,during,2021-06
what is really happening in malaysia  dear god  please give us the strength we need to keep going when things seem hopeless,2021-07-13,1,6,2021-07,2021,1,really happen dear god please give strength need keep go seem hopeless,during,2021-07
wtb   lfs malaysia only v   taehyung winter package photocard   6 cut film photo   just let me know ur price in my dms   not in a rush  will survey prices first   preferably both from the same seller  btstrading my  pasarbts help rt  thanks   pasarbts,2021-03-19,6,6,2021-03,2021,1,v winter package cut film photo let I know ur price rush survey first preferably seller help thank,during,2021-03
  north korea has cut ties with malaysia   is bad thing   educate me please,2021-03-19,0,5,2021-03,2021,0,north cut bad thing educate I please,during,2021-03
7 productive memories  in contrary to one might think  my experience  work related  with the  west  was very bad because of my stuttering  it s was extremely fruitful with the  eastern  side  particularly malaysia  which i love and respect  so much  excerpts from my autobiography,2021-03-27,0,5,2021-03,2021,1,productive contrary one might think experience work relate west bad stuttering extremely fruitful eastern side particularly I love respect much autobiography,during,2021-03
again for today  fuck azmin fuck muhyiddin fuck everyone in the cabinet for letting covid be this bad in malaysia  people are losing fucking lives everyday  we’re literally on death row  im so tired man,2021-02-08,4,5,2021-08,2021,0,today everyone cabinet covid bad people lose everyday literally death row tired man,during,2021-02
daym boy  i just attended interview with one of local tv station company  guess who is my panel  duo of iconic news anchor in malaysia  been watching them since sekolah rendah tau tau harini boleh jumpa sembang camtu  nervous   excited,2021-10-09,0,5,2021-09,2021,1,boy I interview one local station company guess panel duo iconic news anchor watch since tau tau nervous excited,during,2021-10
do politicians in malaysia need publicity so bad that they even need to bring a whole ass camera crew to take pictures of them  helping  the flood victims ,2021-12-26,1,5,2021-12,2021,0,need publicity bad even need bring whole ass camera crew take help flood,during,2021-12
don’t really know how to feel  tsmy’s leadership has been a total failure  however  umno decision tonight does not do us much good  now malaysia has been plunged into further turmoil  one thing for sure is that in the game of thrones  the rakyat are the losers ,2021-08-07,5,5,2021-07,2021,0,really know feel leadership total failure however decision tonight much good turmoil one thing sure game,during,2021-08
eternals runtime felt eternal  even with all those bad cuts  seriously  not a single kiss scene was left in  pretty amazing how malaysia constantly finds a way to go backwards while everyone else is getting more and more progressive,2021-06-11,0,5,2021-11,2021,1,feel eternal even bad seriously single kiss scene leave pretty amazing constantly way go backwards everyone else get progressive,during,2021-06
funny how here in malaysia  if you fight for basic rights and decency you get called out as  terpaling woke   it s the right and decent thing  you mad at that  how is that supposed to be a bad thing ,2021-02-25,0,5,2021-02,2021,0,funny fight basic decency get wake right decent thing mad suppose bad thing,during,2021-02
gurllll who the hell gave bad comments about mr  dr sss likeee fuckkk yalll he is my favorite teacher  he is one of the best periodt  me as akak bohsia rusholme rasa cam nk hantar santau jeee through aramex from uk to malaysia ,2021-10-19,1,5,2021-10,2021,0,hell give bad favorite teacher one good I rasa cam,during,2021-10
happy to be able to go back to hospitals but definitely a little scared because of covid       hope medical students in malaysia would be able to have priority to the vaccine as well with all our increased exposure to possible covid patients,2021-01-16,1,5,2021-01,2021,1,happy able go back definitely little covid hope medical would able priority vaccine well exposure possible covid,during,2021-01
hey moots   non moots  i ll be tweeting about bad situation that affected some of area in malaysia  i ll be using this word  banjir   flood and  daruratbanjir  if you don t want to see this kind of tweet you can mute those words  i m tweeting in this account too since i  ,2021-12-19,3,5,2021-12,2021,1,hey non I bad situation affect area I word flood want see kind tweet mute I account since I,during,2021-12
i dont agree if anyone belittle the intelligence or guilt trip pasir salak s voters or any parts of malaysia just because one thinks the mp is problematic and useless  voting for a candidate is their absolute right  if anyone to blame  the party and mp ,2021-05-28,0,5,2021-05,2021,0,I agree anyone belittle intelligence guilt trip one problematic useless voting candidate absolute right anyone blame party,during,2021-05
i said to my mum i wanna on the aircond  she said no cuz virus scared of hot weather  so i told her if covid realy scared of hot weather  then malaysia would have 0 cases till now then she smiled only   rumours said they still didnt on the aircond  d,2021-03-28,0,5,2021-03,2021,1,I say mum I say virus hot weather I tell covid hot weather would till say still,during,2021-03
i used to hang out with a lot of journalists in malaysia  always struck by how hard they worked on their stories  day and night on the go  then i look at journalists here in ireland   so disappointing  cut and paste commandos mainly  a national let down   mondaythoughts,2021-09-28,0,5,2021-09,2021,0,I use lot always strike hard work day night go I look disappointing cut paste mainly national let,during,2021-09
i want bts to have a concert in malaysia but i m too tired to layan the meleis and locals if it happens,2021-09-28,3,5,2021-09,2021,0,I want concert I tired,during,2021-09
i m just too tired  with everything  bukak twitter  polis saman orang jual burger  goreng keropok untuk anak 50k  meanwhile neelofa   her cronies dengan perangai babi  and all those rape enablers  the igp who said it just a joke    omg i m so tired  seriously malaysia ,2021-04-27,1,5,2021-04,2021,0,I tired everything twitter polis saman orang meanwhile rape say joke I tired seriously,during,2021-04
i m not even this nervous buying concert tickets  sitting in front of my laptop trying to refresh the webpage   now it says booking starts at 12 15pm  astrazeneca  malaysia,2021-05-26,2,5,2021-05,2021,0,I even nervous concert sit front try refresh book,during,2021-05
i m scared for the future  i m scare for the next generation  where s all the freedom of speech  where s all the  suara rakyat   is it heard by the gov  no  do they even care  where s all the meaning of  rukun negara  that we pledge everyday at school  malaysia  where ,2021-09-05,3,5,2021-05,2021,1,I future I scare next generation freedom speech even care meaning pledge everyday school,during,2021-09
it s funny and sad that we assume malaysia s electoral system is fine   malaysians can simply reject bad politicians by electing new ones    when we have to pay so much money to travel to another state just to vote  while the prices of daily goods continue to rise ,2021-11-25,0,5,2021-11,2021,0,funny sad assume electoral system fine simply reject bad new pay much money travel another state vote daily good continue rise,during,2021-11
i’m getting tired of this keluarga malaysia slogan man,2021-07-11,1,5,2021-11,2021,0,I get tired slogan man,during,2021-07
i’m very lost why is being a feminist a bad thing now in malaysia  and what tf is wrong with the libresse packaging thingy  i thought the flowers were cute  otak sapa kotor sangat ni sampai bunga pon boleh jadi benda lain ,2021-09-21,1,5,2021-09,2021,0,I lost feminist bad thing wrong thingy I think cute sapa ni pon benda lain,during,2021-09
malaysia does not officially recognise refugees in this country  but refugees can live in decent condos  and run their own businesses to afford a decent lifestyle  not sure if it’s a good or bad thing  if you don’t recognise them  you can’t regulate them ,2021-01-04,1,5,2021-04,2021,1,officially country live decent run afford decent sure good bad thing regulate,during,2021-01
malaysia has a bad case of double standards  none more jarring than the humanitarian crises we choose to act upon ,2021-06-14,1,5,2021-06,2021,0,bad case double none jarring humanitarian crisis choose act upon,during,2021-06
malaysia messed up real bad  we have unreasonable compounds given to people who clearly doesn’t deserve it  we have rape cases being treated as a joke  unnecessary period spot check and the most badass is double standard treatment  get me out of here ,2021-04-28,3,5,2021-04,2021,0,real bad unreasonable give people clearly deserve rape joke unnecessary period spot check double standard treatment get I,during,2021-04
started journalling because i don’t wanna annoy people with “i miss japan” and “when i was in japan” kinda tweet after returning to malaysia later  sis is secretly soft inside and don’t wanna be told “pegi balik jepun lah” so i’m just gonna be terpaling jepun in my journal,2021-12-01,0,5,2021-01,2021,0,I annoy people I miss japan I japan tweet later sis secretly soft inside tell I journal,during,2021-12
talking about  taste nothing   family mart malaysia need to return the sea salt flavor  i love it so much i remember describing it as  empty   not in a bad way but yknow  that kind of feeling like you re floating and relax  as if u have no care at all    empty  yes ,2021-10-19,1,5,2021-10,2021,1,talk taste nothing family mart need return sea salt flavor I love much I remember empty bad way kind feel like float relax u care empty yes,during,2021-10
we have a fascinating papers embracing a broad swathe of topics   south asian regions  from colonial  ceylon   sri lanka  to apple farming   bad weather in  kashmir  from hydropower in  myanmar to south asian populations in  singapore and  malaysia ,2021-04-27,3,5,2021-04,2021,1,fascinating embrace broad swathe south colonial sri apple farm bad weather south,during,2021-04
welcome to malaysia  where a failure can be crown as the prime minister  what a joke ,2021-08-20,0,5,2021-08,2021,1,welcome failure crown prime minister joke,during,2021-08
welp  time to not have water at home for the next 4 days and try to survive   malaysia is facing a scheduled water cut in a major state ,2021-10-13,1,5,2021-10,2021,0,time water home next day try survive face water cut major state,during,2021-10
what a pity for u selangor  you are now becoming stepchild to malaysia  covid19 cases in high ranked  failure water supply  territorial disputes of nilai and now they are even going to separate you off from malaysia  sabar k sayang,2021-09-07,1,5,2021-07,2021,0,pity u become stepchild high rank failure water supply territorial even go separate k,during,2021-09
when will malaysia will be corona free   like when will things start to get back normal   its been more than year   and we are back to square 1 pkp again   our cases initially wasnt as bad as some other countries   some of them are free now   politicians   ,2021-01-21,3,5,2021-01,2021,1,corona free like start get back normal year back square initially bad free,during,2021-01
when you re so used to samsung and then you suddenly have to change to other brand  plus it s not global set  i m so tired      thank god i listened to the apple salesman not to buy a new phone here if i m using it at malaysia  i would be so done,2021-06-17,0,5,2021-06,2021,1,use suddenly change brand plus global set I tired thank god I apple salesman buy new phone I I would,during,2021-06
why the shipping fee is almost free to malaysia   like wtf   im scared with this sobyohey order,2021-04-04,0,5,2021-04,2021,1,shipping fee almost free like order,during,2021-04
y all act like y all scared to say evelyn s name when talking about other people being aggressive  malaysia ain t the only one   basketballwives,2021-02-24,0,5,2021-02,2021,1,act like say name talk people aggressive one,during,2021-02
hello  i m a college student that s kinda broke and leeching off my parents  and i feel bad  so i ve decided to sell some of my pre loved books to earn back some money c  feel free to dm me for the price and more info on the condition of the books   3 malaysia,2021-02-27,2,5,2021-02,2021,0,hello I college student break I feel bad I decide sell earn back money c feel free I price condition,during,2021-02
imagine if gun is legal in malaysia  bet lot of people have died because this kind of society havin really really bad at sensitive jokes  did you see a clown pick a rape as a joke    lol,2021-04-26,0,5,2021-04,2021,0,imagine gun legal bet lot people kind society really really bad sensitive see clown pick rape joke,during,2021-04
is it bad that i feel like malaysia cursed itself with the kita belum menang slogan even when things were good  djshwjwhzja now it feels like we are going to be losing for a long long time,2021-11-07,0,5,2021-07,2021,0,bad I feel like curse slogan even good like go lose long long time,during,2021-11
malaysia s netflix so bad that most of the good movies and show ain t even on the platform,2021-03-26,0,5,2021-03,2021,0,bad good show even platform,during,2021-03
my malaysian colleague said to me  go to malaysia there s a lot of mcdo bts meal and then the fans will buy and the wrappers  they will cut and make it neat and hang on wall or put in a frame  me  how did she knew its going to be like that,2021-11-06,0,5,2021-06,2021,1,colleague say I go lot meal buy cut make neat wall put frame I know go like,during,2021-11
oscars ranking as of february 26th overral    10 wetv    6 malaysia    6 thailand    6 philippines    7 korea    8 japan   not in top 11 vietnam   not in top 11 my bad  oscarwang  奥斯卡chuang2021xoscar  创造营2021  chuang2021,2021-02-27,3,5,2021-02,2021,0,japan top top bad,during,2021-02
suicide rate increasing day by day in malaysia because of these incompetent government who doesn’t know how to do their job and make everyone suffer tbh the good should die peacefully and the bad people like them who run this country should have a horrible torturous death,2021-06-28,0,5,2021-06,2021,0,suicide rate increase day day incompetent government know job make everyone suffer good die peacefully bad people like run country horrible torturous death,during,2021-06
tired so fucking tired  the malaysia’s government using their platform as their playgrounds  we’re so fucking tired ,2021-07-13,2,5,2021-07,2021,0,tired tired government platform tired,during,2021-07
you know  as bad as america is  at least they’re getting vaccinated  i hate it here  i hate malaysia ,2021-04-21,3,5,2021-04,2021,0,know bad least get I hate I hate,during,2021-04
 yo satoru   where are your allies   malaysia   you ve got it from here   tell everyone it wasn t bad  whatever todo said when he appeared   not zenin huh  good for you  brooooo you guys are not ready for shibuya,2021-11-11,2,4,2021-11,2021,1,yo ally get tell everyone bad whatever say huh good ready,during,2021-11
3k covid 19 cases in malaysia today  idk what to feel  tired already  i want my uni life backkkkk,2021-07-01,0,4,2021-01,2021,0,covid today feel tired already I want life,during,2021-07
a general strike might be an actually effective protest against the government  it d hurt the nation s bottom line  stun the economy  set the whole of malaysia into chaos and incite more opposition against pn  which would be branded by this movement as a total failure ,2021-07-13,2,4,2021-07,2021,0,general strike might actually effective protest government hurt nation bottom line stun economy set whole chaos incite opposition would brand movement total failure,during,2021-07
be me be part of the  st rmblood bad  crowd but then live in malaysia in 2020 2021,2021-10-20,0,4,2021-10,2021,0,I part st bad crowd live,during,2021-10
good wins in malaysia and uganda shame about birmingham,2021-05-03,0,4,2021-03,2021,0,good shame,during,2021-05
i am   so   tired   with malaysia  i wish the leaders  people in power and ngos that have direct access to the government s resources would help people   but no  they ve been utter disappointment ,2021-06-05,0,4,2021-05,2021,0,I tired I wish people power direct access government would help people utter disappointment,during,2021-06
i m just gonna do this no shame     hi if you or anyone you know works in media in malaysia please   me or dm me   i would love to be in touch so you can have the chance to speak to international artists like pink sweat   bebe rexha  anne marie and more  rt please thank u ,2021-02-26,7,4,2021-02,2021,1,I shame hi anyone know work medium please I I I would love touch chance speak international like pink sweat please thank u,during,2021-02
i ve seen the malaysia highlights and i have to say all is well but maybe we need more consistencies in the 2nd half i think akhyar nazmi faiz and syahmi is the best player on the pitch i also think de paula done pretty decent not really bad not really good onto the next one ,2021-06-16,1,4,2021-06,2021,1,I see I well maybe need half I think good player pitch I also think de pretty decent really bad really good onto next one,during,2021-06
if malaysia started snowing i would be scared shitless,2021-06-11,1,4,2021-11,2021,1,I would,during,2021-06
idk why malaysia are blessed with kind rakyat marhaens but cursed with dumbass politics and media  you don t want to make a calm person angry or you will be scared shitless ,2021-08-01,2,4,2021-01,2021,1,bless kind curse politic medium want make calm person angry,during,2021-08
im quite surprised most people jump into conclusions from just that screenshot from a whatsapp group     are schools in malaysia are that bad to do something like that to the students     padahal sekolah kt sini tnggu bdk balik smpai magrib dekat sekolah     allahu,2021-04-13,1,4,2021-04,2021,0,quite people jump group bad something like,during,2021-04
im scared of what s happening in malaysia rn,2021-01-05,2,4,2021-05,2021,1,happen,during,2021-01
im tired of saying this but imma say it again  malaysia is not a muslim country ,2021-03-03,0,4,2021-03,2021,0,tired say say country,during,2021-03
in another episode of me telling my oomf that malaysia is not a muslim country bestie… im tired,2021-06-11,0,4,2021-11,2021,0,another episode I tell country tired,during,2021-06
indian vegetable oil producers’ association says it sees early signs of demand shift from palm oil to soft oil after india s duty cut  india’s imports of palm oil from indonesia fell to 46  in 2020 21 from 72  in 2019 20  whereas  malaysia s import share rose to    ,2021-10-18,0,4,2021-10,2021,0,vegetable oil association early demand shift palm oil soft oil duty cut palm oil fall whereas import share rise,during,2021-10
it baffles me that some people are saying we can t criticise us because the current situation in malaysia is just as bad  um   where  it s not even close  sure it s pretty shit here with assholes in the government but to put us on the same level as amerikkka  show some respect ,2021-07-01,2,4,2021-01,2021,1,I people say current situation bad um even close sure pretty government put level show respect,during,2021-07
it s april and disney  for malaysia is nowhere to be seen  i m tired of pirating ,2021-12-04,0,4,2021-04,2021,1,nowhere see I tired,during,2021-12
malaysia is so bad to the point that sajat had to run away to australia,2021-10-24,1,4,2021-10,2021,0,bad point run away,during,2021-10
malaysia went from “good” to “bad” now in handling covid 19,2021-09-05,0,4,2021-05,2021,0,go good bad handle covid,during,2021-09
my boyfriend saw me crying in the car and cut the music up    ,2021-04-03,3,4,2021-03,2021,0,see I cry car cut music,during,2021-04
pls my classmate from china said malaysia shouldnt be friends w china bcs china is just a scam and the only thing theyre good at is economy hahahahaha and the only reason malaysia wants to be friends w china is bcs malaysia is scared eughfwjbds wat is going on in class i cant,2021-12-11,0,4,2021-11,2021,0,classmate china say w china china scam thing good economy reason w china wat go class I,during,2021-12
penang  selangor  fts  melaka  johor  sabah constitute about 66  of malaysia s gdp based on 2019 national gdp by states    cgs cimb expects mco 2 0 will shave 70 basis points off gdp for 2021 while hong leong thinks it s 90 basis points  so    not as bad as mco 1 0 ,2021-12-01,3,4,2021-01,2021,0,penang constitute base national shave basis hong basis bad,during,2021-12
recent cut ties with nk just hits me  people in the nk embassy in malaysia got used to browsing google  fb etc had to go back home with no access to those sites anymore  shiii,2021-03-22,0,4,2021-03,2021,0,recent cut I people embassy got use browse go back home access,during,2021-03
shell it  t systems  ibm are all exiting   have exited malaysia  mncs   big tech companies are more interested to move to singapore  indonesia  vietnam instead  policy   ecosystem failure in malaysia is hard to be ignored ,2021-03-23,5,4,2021-03,2021,0,shell big tech interested move instead policy ecosystem failure hard,during,2021-03
